Feedback 00,Arm,,,RJ45,,
,Black Wire,Clear ,=,Green,,3
,,Green ,=,Green/White ,,6
,,,,,,
,Grey Wire,Green,=,Orange/White,,2
,,Clear,=,Orange,,1
,,,,,,
,Grey Wire,Green,=,Blue/White,,4
,,Clear,=,Blue,,5
,,,,,,
Feedback 01,,,,,,
,Black Wire,Clear ,=,Green,,3
,,Green ,=,Green/White ,,6
,,,,,,
,Grey Wire,Green,=,Orange/White,,2
,,Clear,=,Orange,,1
,,,,,,
,Grey Wire (with HS),Green,=,Blue/White,,4
,,Clear,=,Blue,,5
,,,,,,
Feedback 02,,,,,,
,Black Wire,Clear ,=,Green,,3
,,Green ,=,Green/White ,,6
,,,,,,
,Grey Wire,Green,=,Orange/White,,2
,,Clear,=,Orange,,1
,,,,,,
,Black Wire,Green,=,Blue/White,,4
,,Clear,=,Blue,,5
,,,,,,
Feedback 03,,,,,,
,Black Wire,Clear ,=,Green,,2
,,Green ,=,Green/White ,,1
,,,,,,
,Black Wire,Green,=,Orange/White,,3
,,Clear,=,Orange,,6
,,,,,,
,Grey Wire,Green,=,Blue/White,,4
,,Clear,=,Blue,,5
,,,,,,
Feedback 04,,,,,,
,Black Wire,Red,=,Green,,3
,,Black,=,Green/White ,,6
,,,,,,
,Black Wire,Green,=,Orange/White,,2
,,Clear,=,Orange,,1
,,,,,,
,Grey Wire,Green,=,Blue/White,,4
,,Clear,=,Blue,,5
,,,,,,
Feedback 05,,,,,,
,Black Wire,Red,=,Green,,3
,,Black,=,Green/White ,,6
,,,,,,
,Black Wire,Green,=,Orange/White,,2
,,Clear,=,Orange,,1
,,,,,,
,Grey Wire,Green,=,Blue/White,,4
,,Clear,=,Blue,,5
